id,timestamp,team_id,type,slug,currency_delta,data,internal_data,strong_currency_delta,hint_refunded
44331,2026-01-16 18:35:22.59475-05,1025,hint_requested,a_wanderers_colorlog,0,"{""request"":""<REDACTED>"",""hint_resource"":{""slug"":""a_wanderers_colorlog"",""type"":""puzzle""}}",NULL,0,NULL
44341,2026-01-16 18:35:26.956797-05,1006,hint_requested,novelty_store,0,"{""request"":""<REDACTED>"",""hint_resource"":{""slug"":""novelty_store"",""type"":""puzzle""}}",NULL,0,NULL
44373,2026-01-16 18:36:11.703837-05,562,hint_requested,a_wanderers_colorlog,0,"{""request"":""<REDACTED>"",""hint_resource"":{""slug"":""a_wanderers_colorlog"",""type"":""puzzle""}}",NULL,0,NULL
44421,2026-01-16 18:36:58.272423-05,925,hint_requested,replacements,0,"{""request"":""<REDACTED>"",""hint_resource"":{""slug"":""replacements"",""type"":""puzzle""}}",NULL,0,NULL
44463,2026-01-16 18:37:30.358507-05,3,hint_requested,a_wanderers_colorlog,0,"{""request"":""<REDACTED>"",""hint_resource"":{""slug"":""a_wanderers_colorlog"",""type"":""puzzle""}}",NULL,0,NULL
44468,2026-01-16 18:37:35.2042-05,266,hint_requested,shopping_spree,0,"{""request"":""<REDACTED>"",""hint_resource"":{""slug"":""shopping_spree"",""type"":""puzzle""}}",NULL,0,NULL
44497,2026-01-16 18:37:53.248918-05,993,hint_requested,this_puzzle_has_been_here_the_whole_time,0,"{""request"":""<REDACTED>"",""hint_resource"":{""slug"":""this_puzzle_has_been_here_the_whole_time"",""type"":""puzzle""}}",NULL,0,NULL
44499,2026-01-16 18:37:54.113204-05,8,hint_requested,urban_angst,0,"{""request"":""<REDACTED>"",""hint_resource"":{""slug"":""urban_angst"",""type"":""puzzle""}}",NULL,0,NULL
44571,2026-01-16 18:38:41.820423-05,364,hint_requested,a_wanderers_colorlog,0,"{""request"":""<REDACTED>"",""hint_resource"":{""slug"":""a_wanderers_colorlog"",""type"":""puzzle""}}",NULL,0,NULL
44631,2026-01-16 18:39:14.29751-05,53,hint_requested,replacements,0,"{""request"":""<REDACTED>"",""hint_resource"":{""slug"":""replacements"",""type"":""puzzle""}}",NULL,0,NULL
44638,2026-01-16 18:39:20.736466-05,20,hint_requested,replacements,0,"{""request"":""<REDACTED>"",""hint_resource"":{""slug"":""replacements"",""type"":""puzzle""}}",NULL,0,NULL
44644,2026-01-16 18:39:27.427407-05,267,hint_requested,a_wanderers_colorlog,0,"{""request"":""<REDACTED>"",""hint_resource"":{""slug"":""a_wanderers_colorlog"",""type"":""puzzle""}}",NULL,0,NULL
44659,2026-01-16 18:39:38.099522-05,925,hint_responded,replacements,0,"{""response"":""<REDACTED>"",""hint_resource"":{""slug"":""replacements"",""type"":""puzzle""}}","{""operator"":""<REDACTED>""}",0,NULL
44660,2026-01-16 18:39:42.28842-05,56,hint_requested,a_wanderers_colorlog,0,"{""request"":""<REDACTED>"",""hint_resource"":{""slug"":""a_wanderers_colorlog"",""type"":""puzzle""}}",NULL,0,NULL
